identifier,ID,purchaseOrder,project,material,shortText,purchaseQuantity,orderUnit_code,requestDate,modifyDate,orderDate,approvalDate,deliveryDate,currency_code,price,priceUnit,unit,totalValue,frameworkAgreement,supplier_ID,purchasingOrganization,purchasingGroup,deliveryAddress,contactPerson_ID,requestStatus_code,priority_code,aiSummary
1100000114,1df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000176,10,10000044,主料-高碳钢线材,22000,KG,2025-08-01,2025-08-06,2025-08-11,2025-08-16,2026-01-10,CNY,8,1,KG,176000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c325,approved,2_medium,
1100000109,2df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000171,20,10000045,辅料-氨纶线材,4000,KG,2025-08-05,2025-08-10,2025-08-15,2025-08-20,2026-01-25,CNY,15,1,KG,60000,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,067460c5-196c-4783-9563-ede797399da8,approved,2_medium,
1100000120,3df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000182,30,10000046,辅料-天然气,8000,KG,2025-08-10,2025-08-15,2025-08-20,2025-08-25,2026-01-05,CNY,4,1,KG,32000,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c322,approved,3_low,
1100000117,4df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000179,40,10000048,辅料-固定组件,3000,KG,2025-08-15,2025-08-20,2025-08-25,2025-08-30,2026-01-15,CNY,11,1,KG,33000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c323,approved,1_high,
1100000107,5df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000169,50,10000049,副产品-氨纶废丝,1500,KG,2025-08-20,2025-08-25,2025-08-30,2025-09-04,2026-02-20,CNY,1,1,KG,1500,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c324,in_process,2_medium,
1100000115,6df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000177,10,10000044,主料-高碳钢线材,20000,KG,2025-09-01,2025-09-06,2025-09-11,2025-09-16,2026-02-01,CNY,5,1,KG,100000,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c325,approved,2_medium,
1100000110,7df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000172,20,10000045,辅料-氨纶线材,3500,KG,2025-09-05,2025-09-10,2025-09-15,2025-09-20,2026-03-10,CNY,18,1,KG,63000,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,067460c5-196c-4783-9563-ede797399da8,approved,3_low,
1100000123,8df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000185,30,10000046,辅料-天然气,15000,KG,2025-09-10,2025-09-15,2025-09-20,2025-09-25,2026-03-15,CNY,3,1,KG,45000,4610000038,1000177,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c322,new,2_medium,
1100000106,9df360ec-2dc5-40b9-b782-4b8a8b488dad,4510000168,40,10000048,辅料-固定组件,2500,KG,2025-09-15,2025-09-20,2025-09-25,2025-09-30,2026-04-05,CNY,10,1,KG,25000,4610000036,1000175,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c323,approved,3_low,
1100000112,adf360ec-2dc5-40b9-b782-4b8a8b488dad,4510000174,50,10000049,副产品-氨纶废丝,800,KG,2025-09-20,2025-09-25,2025-09-30,2025-10-05,2026-04-10,CNY,2,1,KG,1600,4610000037,1000176,泰和新材料总部工厂,101,泰和新材料总部工厂,efec3e9f-ceea-4d17-80a7-50073f71c324,approved,2_medium,
